,0
0,Arkansas
1,Connecticut
2,Florida
3,Hawaii
4,Idaho
5,Illinois
6,Iowa
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Missouri
15,Montana
16,Nebraska
17,Nevada
18,New Hampshire
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Texas
29,Utah
30,Vermont
31,Virginia
32,Washington
33,West Virginia
34,Wisconsin
35,Wyoming
